Name,NSamples,minBookDepth,p25BookDepth,p50BookDepth,p75BookDepth,p90BookDepth,p99BookDepth,p999BookDepth,p9999BookDepth,maxBookDepth
CLI,38303,0,0,0,3,5,26,563,5745107,9998030
CLIR,4538,0,0,4,34,58,357,15223899,19521855,19999406
CLM,1217,0,0,0,9,151,585,16956545,19693833,19997977
CLMS,14221,0,0,1,9,22,370,2228050,18221645,19998712
CLMT,57210,0,0,1,3,5,687,1370,8559792,19997504
CLNE,56504,0,0,0,1,6,543,1758,14864213,19999538
CLNT,1722,0,2,5,19,86,3604045,18360130,19835738,19999695
CLNY,95551,0,0,1,2,7,16,698,828,1178
CLNY-A,102,0,0,158,558,738,1015,1188,1188,1188
CLNY-B,220,0,0,0,76,572,983,983,983,983
CLR,349039,0,0,1,4,12,50,450,1654,9995343
CLRB,493,0,0,9,31,69,5917732,18591546,19858927,19999748
CLRBW,246,0,0,961,1500,2110,16489394,19651998,19968258,20003399
CLRO,1963,0,0,1,46,197,642,16728284,19671896,19998964
CLRX,5316,0,1,9,27,59,2569,14094719,19409356,19999872
CLS,45666,0,0,0,1,4,16,315,565,565
CLSN,1970,0,0,0,15,71,4771,17537913,19753584,19999770
CLTX,400,0,0,0,49,163,12728714,19272339,19926702,19999409
CLUB,5547,0,0,4,14,57,226,13067558,19306169,19999349
CLV,2429,0,0,10,45,139,198,209,531,531
CLVS,51874,0,0,5,82,186,1189,3002,17582231,19993601
CLW,16200,0,0,5,17,47,2066,2540,7970056,9992532
CLWT,529,0,0,35,70,656,12444594,19244238,19924203,19999755
CLX,158104,0,1,4,9,14,41,2214,16517210,19989295
CLY,8503,0,0,1,5,22,1220,10551182,19049315,19993552
CM,193356,0,0,1,3,6,30,522,2362,9992963
CMA,343614,0,0,1,5,9,23,341,1229,44457
CMA+,1120,0,0,33,70,203,433,538,538,538
CMBS,2063,0,0,0,24,129,1463,7418535,9736998,9994605
CMC,122702,0,0,0,2,5,12,395,579,19998660
CMCM,16851,0,0,0,8,84,498,668,8767909,19997950
CMCO,32581,0,0,1,15,23,477,920,17036632,19997419
CMCSA,1161540,0,0,0,2,7,32,631,1755,19994625
CMCSK,866895,0,0,1,6,10,21,56,1544,19994666
CMCT,1512,0,0,0,11,135,2216042,18220226,19820644,19998469
CMD,754,0,0,0,278,1732,579155,9049199,9896203,9990315
CMDT,516,0,1,136,327,944,1377,1377,1377,1377
CME,250894,0,2,7,14,32,90,1774,11492308,19991412
CMF,391,0,0,18,1260,3400,15104705,19499731,19939234,19988068
CMFN,3998,0,0,0,0,20,376,16365429,19635516,19998859
CMG,97220,0,4,66,146,344,1585,15424009,19478136,19928595
CMGE,10713,0,0,0,10,92,1175,9288923,18927429,19998375
CMI,318483,0,1,5,10,18,65,1116,3444,19985692
CMK,1617,0,0,0,1,2,194,322,322,322
CMLP,41628,0,0,0,1,3,113,548,1019,1019
CMLS,29444,0,0,0,1,4,96,357,16320139,19999656
CMN,22084,0,0,1,12,30,737,1575,17236645,19995888
CMO,37700,0,0,0,1,2,82,351,12461144,19998812
CMO-E,210,0,0,0,246,687,12999999,19297576,19927333,19997307
CMP,55326,0,0,3,8,20,448,2713764,18263523,19991275
CMPR,51843,0,0,7,19,33,600,2524,16753913,19991994
CMRE,17086,0,0,1,6,10,386,1080,7863953,9998265
CMRE-B,110,0,0,73,506,573,920,920,920,920
CMRE-C,140,0,0,195,671,721,750,750,750,750
CMRX,25400,0,0,1,23,39,1048,2056,13648979,19996179
CMS,339989,0,0,1,4,7,17,362,888,19996220
CMS-B,74,0,0,306,1944,3584,3622,3622,3622,3622
CMSB,246,0,0,94,364,399,96746,123686,126380,126680
CMT,832,0,0,45,120,408,451,15839606,19582331,19998190
CMTL,29737,0,0,4,14,28,924,1495,17024134,19996583
CMU,613,0,0,0,29,118,4678721,18467450,19846323,19999532
CN,428,0,0,69,108,275,2011,2644,2644,2644
CNA,32905,0,0,1,8,16,253,2264,15884782,19996071
CNAT,12973,0,0,0,2,33,528,2402,17837839,19999401
CNBKA,813,0,55,159,454,1120,1446,17964413,19792840,19995999
CNC,96793,0,0,2,6,22,88,2203,2596,9989000
CNCE,13923,0,0,0,8,14,372,6079971,18606488,19998324
CNCO,11308,0,0,0,2,211,17453108,19744607,19973757,19999219
CNDA,4600,0,0,3,14,19,482,568,1398,1398
CNDO,3757,0,0,0,8,66,351,13739727,19373748,19999751
CNET,4739,0,0,0,1,51,716,16355383,19635380,19999825
CNHI,23543,0,0,1,1,3,17,211,214,239
CNI,349201,0,0,2,8,17,41,348,1973,19993241
CNIT,4331,0,0,0,8,44,328,15875916,19587191,19999555
CNK,84313,0,0,1,4,8,37,795,3516311,9996256
CNL,39863,0,0,2,6,11,42,1536,1694,1777
CNLM,94,0,0,20,272,8943503,18893469,19888465,19987965,19999021
CNLMR,238,0,0,288,840,1053,14056474,19412036,19947592,20007099
CNLMU,142,0,0,7,187,286,15943055,19593383,19958416,19998976
CNLMW,94,0,0,482,579,1205178,18127689,19819941,19989166,20007969
CNMD,31328,0,0,5,16,35,1162,2762,17385822,19995211
CNNX,5404,0,0,3,16,151,918,10175925,19015688,19997884
CNO,183120,0,0,1,5,9,16,432,504,9998428
CNOB,9753,0,0,0,12,30,525,12198405,19218151,19998123
CNP,321098,0,0,1,3,8,13,183,493,1134
CNQ,642837,0,0,1,3,7,16,103,894,6600
CNR,7742,0,0,0,7,7217321,18722361,19872865,19987915,20000699
CNS,24405,0,0,0,8,22,396,1618,16946532,19995746
CNSI,20295,0,0,0,3,11,494,1526,17461924,19997899
CNSL,32790,0,0,1,5,14,641,841,16355620,19997607
CNTF,1218,0,0,30,400,1780,9411278,18941002,19893975,19999861
CNTY,4820,0,0,4,12,21,164,10362119,19035707,19999439
CNV,7256,0,0,0,4,34,240,650,17926881,19999449
CNW,135037,0,0,3,9,16,40,815,3759,19995792
CNX,391590,0,0,3,10,21,135,291,835,19996969
CNXR,2649,0,0,1,25,150,314,16688784,19668022,19999049
CNXT,218,0,0,30,135,755,2556,2556,2556,2556
CNY,352,0,0,13,98,781,1188,1198,1198,1198
CNYD,604,0,2,12,61,82,12451700,19244899,19924219,19999699
CO,2921,0,0,2,8,38,187,6508,6945,6994
COB,6122,0,0,3,70,160,873489,18086458,19807755,19999011
COBK,936,0,0,8,79,237,376,13760633,19374851,19998653
COBO,184,0,0,258,1533,2306,5258,7938,8206,8236
COBZ,14279,0,0,1,8,36,326,2155560,18214287,19998590
COCO,1882,0,7,146,197,1541,16735502,19681866,19976502,20009240
CODE,176783,0,0,2,6,12,33,995,1091,19996558
CODI,9742,0,0,3,7,11,459,3767062,18375126,19998245
COF,311663,0,0,3,7,10,24,482,1489,1512
COF+,7919,0,0,0,0,0,821,1027,1226,1226
COF-C,1619,0,0,0,0,1,713,984,1150,1150
COF-D,2107,0,0,0,0,0,554,1025,1196,1196
COF-P,484,0,0,0,109,615,775,775,775,775
COG,564618,0,0,1,6,11,20,176,588,19997306
COH,368722,0,0,1,3,7,17,352,1086,19996249
COHR,40589,0,0,5,17,52,501,1853,14922978,19993750
COHU,15643,0,0,4,14,19,315,2623084,18261281,19998859
